Chinees	Counter({'Chinese': 1})
de tv	Counter({'the TV': 1})
de ui	Counter({'the onion': 1})
de uitleg	Counter({'the explanation (2)': 1})
de uitspraak	Counter({'the pronunciation': 1})
de universiteit	Counter({'the university': 1})
de vaatwasmachine	Counter({'the dishwasher': 1})
de vacature	Counter({'the vacancy': 1})
de vader	Counter({'the father': 1})
de vakantie	Counter({'the holiday': 1, 'the vacation': 1})
de verblijfsvergunning	Counter({'the residence permit': 1})
de verdeling	Counter({'the layout': 1})
de verdieping	Counter({'the floor (2)': 1})
de vereniging	Counter({'the assotiation, union': 1})
de vergiftiging	Counter({'the poisoning': 1})
de vergoeding	Counter({'the compensation': 1})
de verjaardag	Counter({'the birthday': 2})
de verklaring	Counter({'the explanation (1)': 1})
de verkoper	Counter({'the salesman': 3})
de versnelling	Counter({'the gear': 1})
de vertaling	Counter({'the translation': 1})
de vertegenwoordiger	Counter({'the representative': 1})
de vertraging	Counter({'the delay': 1})
de verwijsbrief	Counter({'the referral letter': 1})
de verzekering	Counter({'the insurance': 1})
de vesting	Counter({'the fortress': 1})
de vinger	Counter({'the finger': 1})
de vis	Counter({'the fish': 2})
de visser	Counter({'the fisherman': 1})
de vlag	Counter({'the flag': 1})
de vlieg	Counter({'the fly': 1})
de vlinder	Counter({'the butterfly': 1})
de voet	Counter({'the foot': 1})
de voetballer	Counter({'the football player': 1})
de voetbalwedstrijd	Counter({'the soccer match': 1})
de vogel	Counter({'the bird': 1})
de vork	Counter({'the fork': 1})
de vorm	Counter({'the form': 1})
de vos	Counter({'the fox': 1})
de vraag	Counter({'the question': 2})
de vriend	Counter({'the friend / the boyfriend': 1, 'the friend, boyfriend': 1})
de vriendin	Counter({'the friend / the girlfriend': 1, 'the girlfriend (2)': 1})
de vrije dag	Counter({'the day off': 1})
de vrijetijdsbesteding	Counter({'the leisure activity': 1})
de vrouw	Counter({'the woman / the wife': 1, 'the woman': 1})
de vve bijdrage	Counter({'communal costs': 1})
de waarde	Counter({'the value': 2})
de wal	Counter({'the shore': 1})
de wallen	Counter({'the fortified walls': 1, 'the red light district': 1})
de walvis	Counter({'the whale': 1})
de was doen	Counter({'to do the laundry': 1})
de weg	Counter({'the road': 1})
de weinig	Counter({'the few, little': 1})
de wereld	Counter({'the world': 2})
de werkvergunning	Counter({'the working permit': 1})
de wet	Counter({'the law': 1})
de wijze	Counter({'the manner, way of doing smth': 1})
de wind	Counter({'the wind': 1})
de winkel	Counter({'the shop': 2, 'the store, shop': 1})
de winter	Counter({'the winter': 1})
de wolf	Counter({'the wolf': 1})
de wolk	Counter({'the cloud': 1})
de woning	Counter({'the living place (residence)': 1, 'the house, place of living': 1})
de woonboot	Counter({'the house boat': 1})
de woonkamer	Counter({'the living room': 2})
de woonplaats	Counter({'the place of residence': 1})
de worst	Counter({'the sausage': 1})
de wortel	Counter({'the carrot': 2})
de yoghurt	Counter({'the yogurt': 1})
de zaak	Counter({'the case, the business': 1})
de zak	Counter({'the bag (big)': 1, 'the bag': 1})
de zalmfilet	Counter({'the salmon fillet': 1})
de zee	Counter({'the sea': 4})
de zeehond	Counter({'the seal': 1})
de ziektekostenverzekering	Counter({'the health insurance': 1})
de zin	Counter({'the a) sentence b) sense': 1})
de zoetigheid	Counter({'the candy': 1})
de zolder	Counter({'the attic': 1})
de zomer	Counter({'the summer': 1})
de zomervakantie	Counter({'the summer holidays': 1})
de zon	Counter({'the sun': 1})
de zonnebril	Counter({'the sunglasses': 1})
de zoon	Counter({'the son': 1})
de zorg	Counter({'the a) care b) worry': 1})
de zus	Counter({'the sister': 2})
de zwaan	Counter({'the swan': 1})
december	Counter({'December': 2})
degelijk	Counter({'sound solid, reliable (adj.)': 1})
delen	Counter({'to share': 1})
denken	Counter({'to think': 2})
depressief	Counter({'depressive': 1})
derde	Counter({'third': 2})
dergelijk	Counter({'such (adj.)': 1})
dertien	Counter({'thirteen': 1})
dertiende	Counter({'thirteenth': 1})
dertig	Counter({'thirty': 1})
deze	Counter({'this / these': 1})
dezelfde woorden	Counter({'the same words': 1})
dicht	Counter({'closed': 1})
dichtbij	Counter({'nearby': 1, 'close to': 1})
die	Counter({'that / those': 1})
dienen	Counter({'to serve as': 1})
diep	Counter({'deep': 1})
dik	Counter({'big / fat': 1, 'thick, fat': 1, 'fat': 1})
dinsdag	Counter({'Tuesday': 2})
dinsdagavond	Counter({'Tuesday evening': 1})
dit	Counter({'this': 1})
doei	Counter({'bye': 2})
doen	Counter({'to do': 3})
dom	Counter({'stupid': 2})
donderdag	Counter({'Thursday': 2})
donderdagavond	Counter({'Thursday evening': 1})
donker	Counter({'dark': 2})
dood	Counter({'dead': 1})
door	Counter({'by / through': 1, 'through': 1})
doordat	Counter({'because (3)': 1})
doordeweeks	Counter({'during the week': 1})
doorgaan	Counter({'to continue': 1})
dorst hebben	Counter({'to be thirsty': 1})
draaien	Counter({'to turn': 1})
dragen	Counter({'to carry / to wear': 1})
dreigen	Counter({'to threaten': 1})
drie	Counter({'three': 1})
drinken	Counter({'to drink': 2, 'drinks': 1})
dromen	Counter({'to dream': 1})
dronken zijn	Counter({'being drunk': 1})
droog	Counter({'dry': 1})
druk	Counter({'busy, crowded': 1, 'busy': 1})
drukken	Counter({'to print': 1})
dubbel	Counter({'double': 1})
duidelijk	Counter({'clear': 1, 'clear(ly)': 1})
duizelig	Counter({'dizzy': 1})
duizend	Counter({'thousand': 1})
dun	Counter({'thin': 1, 'skinny': 1})
duren	Counter({'to last, to take': 1, 'to last': 1})
durven	Counter({'to dare': 1})
dus	Counter({'so (than)': 1, 'so, that': 1})
duur	Counter({'expensive': 3})
echt	Counter({'truly / really': 1, 'real': 1, 'really': 1})
een beetje	Counter({'a bit of ( + uncountable)': 1})
een kat en een hond	Counter({'a cat and a dog': 1})
een taal leren	Counter({'to learn a language': 1})
een verjaardag vieren	Counter({'to celebrate a birthday': 1})
een vraag stellen	Counter({'to ask a question': 1})
eenmaal	Counter({'once': 1})
eenmalig	Counter({'one-time-only': 1})
eens	Counter({'once, (not) even': 1})
eenvoudig	Counter({'simple': 1})
eenzaam	Counter({'lonely': 1})
eerder	Counter({'sooner': 1})
eerlijk	Counter({'honest, fair': 1})
eerst	Counter({'first': 2})
eerste	Counter({'first': 2})
eet smakelijk	Counter({'enjoy your meal': 1})
eigen	Counter({'own (adj)': 1, 'own (adj.)': 1})
eigenlijk	Counter({'actually': 1})
eigenwijs	Counter({'stubborn, self-assured': 1})
eindelijk	Counter({'finally': 2})
eindigen	Counter({'to end': 2})
elektrisch	Counter({'electric': 1})
elf	Counter({'eleven': 1})
elfde	Counter({'eleventh': 1})
elk	Counter({'each': 2, 'each, every': 1})
elkaar	Counter({'each other': 2})
emigreren	Counter({'to emigrate': 1})
en	Counter({'and': 2})
energiek	Counter({'energetic': 1})
eng	Counter({'scary': 1})
enige	Counter({'(my/the) only (+smth)': 1})
enkel	Counter({'only, single': 1})
enkele	Counter({'few, some': 1, 'a few': 1})
enorm	Counter({'enormous': 1})
enthousiast	Counter({'enthusiastic': 1})
er	Counter({'there (pronoun)': 1})
erg	Counter({'very': 1, 'very (2)': 1})
ergens	Counter({'somewhere': 2})
erin	Counter({'in it': 1})
ernstig	Counter({'serious (2)': 1})
erop	Counter({'on it (adv.)': 1})
eruitzien	Counter({'to look (2)': 1})
ervan	Counter({'of it': 1})
ervoor	Counter({'ensure': 1})
eten	Counter({'food': 1, 'to eat': 1})
even	Counter({'just (for a short amount of time)': 1, 'for a moment': 1})
exclusief	Counter({'excluding': 1})
extra	Counter({'additional': 1})
februari	Counter({'February': 2})
feesten	Counter({'to party': 1})
fietsen	Counter({'to cycle': 1})
fijn	Counter({'fine, nice, good': 1})
flink	Counter({'significant': 1})
frituren	Counter({'to fry': 1})
gaan	Counter({'to go': 2})
gaar	Counter({'cooked, done': 1})
gebeuren	Counter({'to happen': 1})
geboren	Counter({'born': 2})
gebruikelijk	Counter({'common': 1})
gebruiken	Counter({'to use': 2})
gedragen	Counter({'to behave': 1})
geduldig	Counter({'patient': 1})
gedurende	Counter({'during (1)': 1})
geel	Counter({'yellow': 1})
geen	Counter({'no, none (+smth)': 1})
gefeliciteerd	Counter({'congratulations': 1})
gek	Counter({'crazy': 1})
gelden	Counter({'to apply': 1})
geleden	Counter({'ago': 1})
gelijk	Counter({'equal': 1})
geloven	Counter({'to believe': 2})
gelukkig	Counter({'happy (long term, deeply)': 1, 'fortunately, luckily': 1, 'happy (long term)': 1})
gemeubileerd	Counter({'furnished': 1})
genieten	Counter({'to enjoy': 1})
genoeg	Counter({'enough': 2})
geraken	Counter({'to get somewhere in time': 1})
gescheiden	Counter({'divorced': 1})
getrouwd	Counter({'married': 1})
gevaarlijk	Counter({'dangerous': 1})
geven	Counter({'to give': 2})
geweldig	Counter({'fantastic': 1, 'awesome': 1})
gewoon	Counter({'just (as usual), simply, ordinary': 1})
gezond	Counter({'healthy': 2})
gisteren	Counter({'yesterday': 1})
glad	Counter({'slippery': 1})
goed	Counter({'good / right / correct': 1, 'well': 1})
goedemiddag	Counter({'добрый день': 1})
goedemorgen	Counter({'доброе утро': 1})
goedenavond	Counter({'добрый вечер': 1})
goedendag	Counter({'good day': 1})
goedkoop	Counter({'cheap': 2})
goh	Counter({'oh': 1})
gooien	Counter({'to throw': 1})
graag	Counter({'gladly, with big please': 1, 'gladly, with pleasure': 1})
grappig	Counter({'funny': 2})
grijpen	Counter({'to grab': 1})
grijs	Counter({'grey': 1})
groeien	Counter({'to grow': 1})
groen	Counter({'green': 2})
groetjes	Counter({'greetings': 1})
groot	Counter({'large / big / tall / great / major': 1, 'big': 1})
grootte	Counter({'size': 1})
gwl	Counter({'utility bills (gas, water, electricity)': 1})
haar	Counter({'her': 1})
haast hebben	Counter({'to be in a hurry': 1})
hagelen	Counter({'to hail': 1})
halen	Counter({'to pick up': 1})
half	Counter({'half': 1})
half een	Counter({'half past twelve': 1})
half vier	Counter({'half past three': 1})
halfvolle melk	Counter({'semi-skimmed milk': 1})
hallo	Counter({'здравствуйте': 1, 'hello': 1})
handig	Counter({'handy': 1})
hangen	Counter({'to hang': 1})
hard	Counter({'hard': 1})
hardlopen	Counter({'to run': 2})
haten	Counter({'to hate': 1})
hebben	Counter({'to have': 2})
heel	Counter({'very (1)': 2, 'very': 1, 'whole, very': 1})
heerlijk	Counter({'delicious (2)': 1})
heet	Counter({'hot': 1})
helaas	Counter({'unfortunately': 2})
helemaal	Counter({'completely, totally': 1, 'completely': 1})
helpen	Counter({'to help': 2})
hem	Counter({'him': 1})
hen	Counter({'them': 1})
herfst	Counter({'autumn': 1})
herhalen hoe	Counter({'to repeat how': 1})
herinneren	Counter({'to remember': 2})
het T-shirt	Counter({'the T-shirt': 1})
het aantal	Counter({'the number, quantity': 2})
het adres	Counter({'the address': 1})
het advies	Counter({'the advice': 1})
het alternatief	Counter({'the alternative': 1})
het antwoord	Counter({'the answer': 2})
het appartement	Counter({'the apartment': 1})
het artikel	Counter({'the a) article b) product, object': 1})
het assortiment	Counter({'the assortment': 1})
het avondeten	Counter({'the dinner': 2})
het avontur	Counter({'adventure': 1})
het bad	Counter({'the bath tub': 1, 'the bath': 1})
het bakje	Counter({'the (little) container': 1})
het balkon	Counter({'the balcony': 1})
het bed	Counter({'the bed': 2})
het bedrijf	Counter({'the company': 2})
het beeld	Counter({'the statue': 1})
het been	Counter({'the leg': 1})
het beest	Counter({'the animal, the beast': 1})
het beetje	Counter({'the little': 1})
het belang	Counter({'the importance': 1})
het bericht	Counter({'the message': 2})
het beroep	Counter({'the profession': 1})
het bestek	Counter({'the cutlery': 1})
het bezoek	Counter({'the visit': 2})
het bier	Counter({'the beer': 1})
het bloed	Counter({'the blood': 1})
het boek	Counter({'the book': 2})
het bord	Counter({'the plate': 2})
het bos	Counter({'the forest': 2})
het bosje	Counter({'the bunch': 1})
het brood	Counter({'the bread': 2})
het broodje	Counter({'the sandwich': 1})
het bureau	Counter({'the desk': 1})
het cadeau	Counter({'the present': 1, 'the gift': 1})
het café	Counter({'the cafe, pub': 1})
het centrum	Counter({'the center': 1, 'the centre': 1})
het cijfer	Counter({'the number, digit': 1})
het concert	Counter({'the concert': 2})
het concertgebouw	Counter({'the concert hall': 1})
het contact	Counter({'the contact': 1})
het cv	Counter({'the resume': 1})
het dak	Counter({'the roof': 1})
het deel	Counter({'the part': 2})
het dier	Counter({'the animal': 1})
het ding	Counter({'the thing': 2})
het document	Counter({'the document': 1})
het dorp	Counter({'the village': 2})
het droomhuis	Counter({'the dream house': 1})
het duurt drie uur	Counter({'it takes three hours': 1})
het ei	Counter({'the egg': 2})
het eiland	Counter({'the island': 1})
het einde	Counter({'the end': 2})
het eten	Counter({'the food': 1})
het etentje	Counter({'the meal, dinner': 1})
het feest	Counter({'the party': 3})
het feit	Counter({'the fact': 1})
het festival	Counter({'the festival': 1})
het fietspad	Counter({'the bicycle track': 1})
het formulier	Counter({'the form (to fill)': 1})
het fornuis	Counter({'the cooker': 1, 'the stove': 1})
het fruit	Counter({'the fruit': 2})
het gat	Counter({'the hole': 1})
het gebied	Counter({'the area': 1})
het geboorteland	Counter({'the country of origin': 1, 'the country of birth': 1})
het gebouw	Counter({'the building': 2})
het gebruik	Counter({'the use': 1})
het geld	Counter({'the money': 2})
het geluid	Counter({'the sound': 1})
het geluk	Counter({'the happiness': 1})
het gemeentehuis	Counter({'the town hall': 1})
het genot	Counter({'the pleasure': 1})
het gerecht	Counter({'the dish': 2})
het gereedschap	Counter({'the tools': 1})
het geslacht	Counter({'the sex, gender': 1})
het gesprek	Counter({'the conversation, the interview': 1, 'the conversation': 1})
het geval	Counter({'the case': 1})
het gevoel	Counter({'the feeling': 1})
het gevolg	Counter({'the result': 1})
het gezicht	Counter({'the face': 1})
het gezin	Counter({'the family (1)': 2})
het glas	Counter({'the glass': 2})
het goud	Counter({'the gold': 1})
het grachtenpand	Counter({'the canal house': 1})
het graf	Counter({'the grave': 1})
het grapje	Counter({'the joke': 1})
het gras	Counter({'the grass': 1})
het haar	Counter({'the hair': 3})
het hart	Counter({'the heart': 2})
het heimwee	Counter({'the homesick': 1})
het hemd	Counter({'the undershirt': 1})
het hert	Counter({'the deer': 1})
het hoofd	Counter({'the head': 2, 'the head (of human)': 1})
het hoofdkantoor	Counter({'the head office': 1})
het hoofdstuk	Counter({'the chapter': 1})
het hout	Counter({'the wood': 1})
het huis	Counter({'the house': 2})
het huisdier	Counter({'the pet': 1})
het huisnummer	Counter({'the house number': 2})
het humeur	Counter({'the mood': 1})
het huurcontract	Counter({'the rental contract': 1})
het idee	Counter({'the idea': 2})
het ijs	Counter({'the ice': 1})
het ijzer	Counter({'the iron': 1})
het ingrediënt	Counter({'the ingredient': 1})
het innerlijk	Counter({'the character (2)': 1})
het insect	Counter({'the insect': 1})
het instrument	Counter({'the tool, the (musical) instrument': 1})
het internet	Counter({'the internet': 2})
het interview	Counter({'the interview': 1})
het is belangrijk	Counter({'it is important': 1})
het jaar	Counter({'the year': 2})
het kanaal	Counter({'the channel (long artificial river)': 1})
het kantoor	Counter({'the office': 1})
het karakter	Counter({'the character': 1})
het kind	Counter({'the child': 2})
het konijn	Counter({'the rabbit': 1})
het kookrecept	Counter({'the cooking recipe': 1})
het kopje	Counter({'the cup': 1})
het kuipje	Counter({'the tub': 1})
het kwartier	Counter({'the quarter': 1})
het kwartiertje	Counter({'the quarter of an hour': 1})
het land	Counter({'the country': 3})
het leger	Counter({'the army': 1})
het legitimatiebewijs	Counter({'the id': 1})
het leven	Counter({'the life': 1})
het lichaam	Counter({'the body (physical)': 1})
het lid	Counter({'the member': 1})
het magazijn	Counter({'the warehouse': 1})
het management	Counter({'the management': 1})
het medicijn	Counter({'the medication': 1})
het meer	Counter({'the lake': 1})
het meisje	Counter({'the girl': 2})
het mes	Counter({'the knife': 1})
het middel	Counter({'the means': 1})
het midden	Counter({'the middle': 2})
het moment	Counter({'the moment': 1})
het museum	Counter({'the museum': 1})
het nachtkastje	Counter({'the bedside table': 1})
het nieuws	Counter({'the news': 1})
het nummer	Counter({'the number / the song': 1})
het onderwerp	Counter({'the topic': 1})
het onderzoek	Counter({'the check-up': 1})
het ontbijt	Counter({'the breakfast': 2})
het onweer	Counter({'the thunderstorm': 1})
het oog	Counter({'the eye': 3})
het oor	Counter({'the ear': 3})
het overhemd	Counter({'the shirt': 1})
het paar	Counter({'the couple of, several, some': 1, 'the couple': 1})
het paard	Counter({'the horse': 1})
het paasei	Counter({'the Easter egg': 1})
het pak	Counter({'the suit': 1})
het paleis	Counter({'the palace': 1})
het papier	Counter({'the paper': 1})
het park	Counter({'the park': 2})
het paspoort	Counter({'the passport': 1})
het pensioen	Counter({'the pension': 1})
het plakje	Counter({'the slice': 1})
het plan	Counter({'the plan': 1})
het platteland	Counter({'the countryside': 1})
het plein	Counter({'the square (place)': 1})
het politiebureau	Counter({'the police station': 1})
het postnummer	Counter({'the postcode': 1})
het potlood	Counter({'the pencil': 1})
het pretpark	Counter({'the theme park': 1})
het probleem	Counter({'the problem': 2})
het product	Counter({'the product': 1})
het programma	Counter({'the program': 1})
het publiek	Counter({'the public': 1})
het raam	Counter({'the window': 2})
het recept	Counter({'the prescription': 1, 'the recipe': 1})
het restaurant	Counter({'the restaurant': 1})
het resultaat	Counter({'the result (2)': 1})
het rijbewijs	Counter({'the driving license': 1})
het rundergehakt	Counter({'the ground beef': 1})
het salaris	Counter({'the salary': 1})
het sap	Counter({'the juice': 1})
het schaap	Counter({'the sheep': 1})
het scherm	Counter({'the screen': 1})
het schilderij	Counter({'the painting': 1})
het schip	Counter({'the ship': 1})
het seizoen	Counter({'the season': 1})
het slachtoffer	Counter({'the victim': 1})
het slot	Counter({'the lock': 1})
het sollicitatiegesprek	Counter({'the job interview': 1})
het spel	Counter({'the game': 1})
het spijt me	Counter({'I am sorry': 1})
het spreekuur	Counter({'the consultation hours': 1})
het spul	Counter({'the stuff': 1})
het staal	Counter({'the steel': 1})
het stadion	Counter({'the stadium': 1})
het stadscentrum	Counter({'the city center': 1})
het station	Counter({'the railway station': 1, 'the station': 1})
het stof	Counter({'the dust': 1})
het straatfeest	Counter({'the street party': 1})
het strand	Counter({'the beach': 3})
het stuk	Counter({'the piece': 2})
het succes	Counter({'the success': 1})
het tasje	Counter({'the small handbag': 1})
het telefoonnummer	Counter({'the phone number': 1})
het terrein	Counter({'the area, field, ground': 1})
het tiental	Counter({'the ten': 1})
het tijdschrift	Counter({'the magazine': 1})
het toerisme	Counter({'the tourism': 1})
het toilet	Counter({'the toilet / the restroom': 1, 'the toilet': 1})
het toiletpapier	Counter({'the toilet paper': 1})
het uur	Counter({'the hour': 4})
het vakantiegeld	Counter({'the vacation bonus': 1})
het varken	Counter({'the pig': 1})
het venster	Counter({'the window (whole)': 1})
het verhaal	Counter({'the story': 1})
het verkeer	Counter({'the traffic': 1})
het verleden	Counter({'the past': 1})
het verschil	Counter({'the difference': 2})
het vierkant	Counter({'the square (figure)': 1, 'the square': 1})
het visum	Counter({'the visa': 1})
het vlees	Counter({'the meat': 2})
het vliegtuig	Counter({'the plane': 1, 'the airplane': 1, 'the plane, aircraft': 1})
het vliegveld	Counter({'the airport': 1})
het volk	Counter({'the people': 1})
het voorbeeld	Counter({'the example': 2})
het voordeel	Counter({'the advantage': 1})
het voorstel	Counter({'the proposal': 1})
het vriendinnetje	Counter({'the girlfriend': 1})
het vriendje	Counter({'the boyfriend': 1})
het vuur	Counter({'the fire': 1, 'the flame': 1})
het water	Counter({'the water': 1})
het weekend	Counter({'the weekend': 3})
het weer	Counter({'the weather': 1})
het weerbericht	Counter({'the weather forecast': 1})
het werk	Counter({'the work': 1})
het werkfeest	Counter({'the office party': 1})
het woonadres	Counter({'the home address': 1})
het woord	Counter({'the word': 2})
het ziekenhuis	Counter({'the hospital': 1})
het zilver	Counter({'the silver': 1})
het zout	Counter({'the salt': 1})
het zuivelproduct	Counter({'the dairy product': 1})
het zwembad	Counter({'the swimming pool': 2})
heten	Counter({'to be called, to be named': 1, 'to be named, called': 1})
hetzelfde	Counter({'the same (neutr.)': 1})
hetzelfde woord	Counter({'the same word': 1})
hier	Counter({'here': 1})
hieronder	Counter({'below': 1})
hij	Counter({'he': 1})
hij is jarig	Counter({'it’s his birthday': 1})
hockeyen	Counter({'to play hockey': 1})
hoe	Counter({'how': 1})
hoe laat	Counter({'what time': 1})
hoe vaak	Counter({'how often': 1})
hoelang	Counter({'how long': 1})
hoeveel	Counter({'how much': 1, 'how many': 1})
hoeven	Counter({'to need (used in negations)': 1, 'to need to do smth. (not required)': 1})
hoewel	Counter({'although (2)': 1})
hoi	Counter({'привет': 1, 'hi': 1})
honderd	Counter({'hundred': 1})
honger hebben	Counter({'to be hungry': 1})
hoog	Counter({'high, tall': 1})
hopelijk	Counter({'hopefully': 1})
hopen	Counter({'to hope': 1})
horen	Counter({'to hear': 2})
houden	Counter({'to keep, to hold': 1, 'to keep': 1})
houden van	Counter({'to love': 2})
huidig	Counter({'current': 2})
huilen	Counter({'to cry': 1})
hun	Counter({'their': 2})
huren	Counter({'to rent': 2})
ieder	Counter({'each (formal)': 1})
iedereen	Counter({'everybody': 2, 'everyone (1)': 1})
iemand	Counter({'somebody': 2, 'someone': 1})
iets	Counter({'something': 3})
ik	Counter({'I': 1})
ik begrijp het niet	Counter({'I don’t understand': 1})
ik zal	Counter({'I will': 1})
immigreren	Counter({'to immigrate': 1})
in	Counter({'in': 2})
in de bediening werken	Counter({'working as a waiter': 1})
in verwachting	Counter({'expecting (a baby)': 1})
inclusief	Counter({'including': 1})
inderdaad	Counter({'indeed': 2})
inmiddels	Counter({'meanwhile': 1})
inschrijven	Counter({'to subscribe': 1})
integreren	Counter({'to integrate (in practice)': 1})
intelligent	Counter({'intelligent': 1})
interessant	Counter({'interesting': 1})
internationaal	Counter({'international': 1})
ja	Counter({'yes': 1})
jammer	Counter({'unfortunate, sad, too bad (adj.)': 1})
januari	Counter({'January': 2})
jarig zijn	Counter({'to have a birthday': 1})
jezelf	Counter({'yourself': 1})
jij	Counter({'ты': 1, 'you (singular, informal)': 1})
jong	Counter({'young': 2})
jouw	Counter({'your (informal singular)': 1, 'your (singular, informal)': 1})
juist	Counter({'correct': 1})
juli	Counter({'July': 2})
jullie	Counter({'вы': 1, 'your (informal plural)': 1, 'you, plural': 1})
juni	Counter({'June': 2})
kamperen	Counter({'to camp out': 1, 'camping': 1})
kapot	Counter({'broken': 1})
kennen	Counter({'to know people': 3})
keren	Counter({'to turn': 1})
kiezen	Counter({'to choose': 2})
kijken	Counter({'to look': 1, 'to look, to watch': 1})
kijken naar	Counter({'to watch': 1})
klaar	Counter({'ready': 2})
klein	Counter({'small / little': 1, 'small, little': 1})
klinken	Counter({'to sound': 2})
kloppen	Counter({'to knock, to beat': 1})
knappe	Counter({'handsome (+smth)': 1})
knippen	Counter({'to cut (with scissors)': 1})
koffie zetten	Counter({'to make coffee': 1})
koken	Counter({'to cook': 3})
komen	Counter({'to come': 3})
kopen	Counter({'to buy': 2})
kort	Counter({'short': 3})
kosten	Counter({'to cost': 3})
koud	Counter({'cold': 3})
krijgen	Counter({'to get, to receive': 1, 'to get': 1})
kunnen	Counter({'to can': 1, 'to be able to / can': 1, 'can': 1})
kwaad	Counter({'furious': 1})
kwart over drie	Counter({'quarter past three': 1})
kwart voor zeven	Counter({'quarter to seven': 1})
kwart voor zeven s ochtends	Counter({'quarter to seven am': 1})
kwijt	Counter({'lost': 1})
laag	Counter({'low': 1})
laat	Counter({'late': 1})
laatst	Counter({'last / final / latest': 1, 'last': 1})
lachen	Counter({'to laugh': 3})
lage	Counter({'low (+smth)': 1})
lang	Counter({'long': 2, 'long / tall': 1, 'tall': 1})
langs	Counter({'along, alongside (pred., int the past)': 1})
langzaam	Counter({'slow': 1})
laten	Counter({'to let': 1})
laten zien	Counter({'to show': 2})
later	Counter({'later (2)': 1})
leeg	Counter({'empty': 1})
leerzaam	Counter({'educational': 1})
leggen	Counter({'to put (3)': 1})
leiden	Counter({'to lead': 1})
lekker	Counter({'delicious / tasty': 1, 'nice, delicious': 1})
lekker smaken	Counter({'to taste good': 1})
lelijk	Counter({'ugly': 2})
lenen	Counter({'to borrow': 1})
lente	Counter({'spring': 1})
leren	Counter({'to learn': 2})
leren kennen	Counter({'to get to know, to meet': 1})
leuk	Counter({'fun, nice (about mood)': 1, 'nice': 1, 'fun, nice': 1})
leuk je te ontmoeten lief	Counter({'nice to meet you (long)': 1})
leuk vinden	Counter({'to like': 1})
leven	Counter({'to live (exist)': 1, 'to live': 1})
leveren	Counter({'to supply': 1})
lezen	Counter({'to read': 2})
licht	Counter({'light': 1, 'bright': 1})
lief	Counter({'lovely, sweet': 1})
liever	Counter({'rather': 1})
liever ... dan ...	Counter({'rather ... than ...': 1})
liggen	Counter({'to lie down': 1, 'to lie': 1})
lijken	Counter({'to seem': 2, 'to seem, to appear': 1})
links	Counter({'left': 2})
lopen	Counter({'to walk': 2})
los	Counter({'loose (adj.)': 1})
lui	Counter({'lazy': 2})
luisteren	Counter({'to listen': 1})
luisteren naar	Counter({'to listen to': 1})
lukken	Counter({'to work, succed': 1, 'to succeed (2)': 1})
maandag	Counter({'Monday': 2})
maandagavond	Counter({'Monday evening': 1})
maar	Counter({'but': 2, 'only (+countable)': 1})
maart	Counter({'March': 2})
maken	Counter({'to make': 2})
makkelijk	Counter({'easy': 3})
mama	Counter({'mom': 1})
maximaal	Counter({'maximum': 1})
mee	Counter({'with, along (adv.)': 1})
meer	Counter({'more': 2})
meest	Counter({'most': 1})
meestal	Counter({'usually': 2})
mei	Counter({'May': 2})
melden	Counter({'to report': 1})
men	Counter({'one, you': 1})
menen	Counter({'to believe, to think': 1})
mengen	Counter({'to blend, to mix': 1})
mensen	Counter({'people': 1})
merken	Counter({'to notice': 1})
met	Counter({'with': 2})
met wie	Counter({'with whom': 1})
meteen	Counter({'immediately': 1})
mezelf	Counter({'myself': 1})
mijn	Counter({'my': 2})
mijn naam is	Counter({'меня зовут …': 1})
miljoen	Counter({'million': 1})
minder	Counter({'less': 3})
minimaal	Counter({'minimum': 1})
minstens	Counter({'at least': 1})
misschien	Counter({'maybe': 1, 'perhaps': 1})
misselijk	Counter({'nauseous': 1})
missen	Counter({'to miss, to lack': 1})
modern	Counter({'modern': 2})
moe	Counter({'tired': 1})
moeilijk	Counter({'difficult': 2, 'difficult / hard': 1})
moeten	Counter({'must / have to / should': 1, 'to have to / must': 1, 'must, should, to have to': 1})
mogelijk	Counter({'possible': 1})
mogen	Counter({'may, to be allowed to': 1, 'to be allowed': 1})
mooi	Counter({'beautiful': 2, 'handsome / beautiful / nice / good': 1})
mooi weer	Counter({'beautiful weather': 1})
mopperig	Counter({'grumpy (2)': 1})
morgen	Counter({'tomorrow': 2})
na	Counter({'after': 1})
naar	Counter({'to': 1})
naast	Counter({'next to': 2})
nadat	Counter({'after (2)': 1})
namelijk	Counter({'namely': 1})
nat	Counter({'wet': 1})
natuurlijk	Counter({'of course': 2})
nauwelijks	Counter({'hardly': 1})
nee	Counter({'no': 1})
negen	Counter({'nine': 1})
negende	Counter({'ninth': 1})
negentiende	Counter({'nineteenth': 1})
nemen	Counter({'to take': 2})
nergens	Counter({'nowhere': 1})
net	Counter({'just (a moment ago, только что)': 1, 'just': 1})
netto	Counter({'net': 1})
niemand	Counter({'nobody': 2})
niet	Counter({'not': 1})
niets	Counter({'nothing': 2})
nieuw	Counter({'new': 2})
nieuwsgierig	Counter({'curious': 1})
nobel	Counter({'noble': 1})
nodig	Counter({'necessary': 1})
nodig hebben	Counter({'to need': 2})
noemen	Counter({'to name, to call smth': 1})
nog	Counter({'still, (+not) yet': 1})
nogal	Counter({'rather (2)': 1})
nooit	Counter({'never': 2})
